44	45	146
44	82	210
44	46	218
45	82	88
45	47	63
45	46	73
82	47	53
82	78	52
82	48	90
47	46	48
47	78	95
47	48	61
46	78	136
46	48	78
46	49	70
48	51	78
48	52	90
48	43	83
48	78	81
48	49	71
48	50	92
49	51	96
49	50	69
49	59	141
50	51	53
50	42	136
50	53	84
50	54	124
50	59	92
42	43	96
42	52	62
42	51	87
42	41	97
42	53	72
41	40	47
41	53	101
41	54	92
41	55	93
41	58	139
41	38	103
78	52	89
78	43	34
43	52	63
52	51	35
52	53	71
51	53	67
53	54	67
53	59	109
53	40	117
59	54	85
59	58	71
59	60	115
54	40	83
54	55	58
54	58	55
40	55	60
40	31	95
40	39	60
40	38	87
55	58	70
55	31	68
55	39	72
55	38	127
55	57	64
58	57	40
58	60	61
57	31	73
57	30	97
57	60	54
60	30	114
38	37	55
38	35	60
38	39	62
38	31	132
39	35	31
39	37	91
39	34	65
39	31	71
31	34	57
31	33	58
31	29	85
31	30	59
30	34	96
30	33	78
30	29	60
30	24	121
37	36	28
37	35	62
35	36	70
35	28	76
35	34	37
34	28	58
34	33	36
33	28	54
33	27	83
33	29	43
29	27	54
29	24	126
24	27	130
36	23H	80
36	23G	74
36	28	99
23F	23G	112
23F	23B	47
23F	23E	89
23G	23H	59
23G	21	94
23G	23A	119
23G	23B	82
23H	23A	142
23H	21	85
21	20	34
21	23A	84
28	23G	57
28	23F	88
28	27	65
27	23F	28
27	26	60
26	23F	47
26	23B	86
26	23C	86
26	23E	49
26	24	78
20	23A	87
23A	23C	83
23A	23B	82
23C	23B	82
23C	23E	79
23B	23E	124
